Relation,Peak,Metric,Simulation,Reference,Absolute Difference,Percentage Difference
AL,morning,E/h,15.0,20.0,-5.0,-25.0
AL,morning,P/h,15.0,20.0,-5.0,-25.0
AP,morning,E/h,373.0,374.5,-1.5,-0.4005340453938585
AP,morning,P/h,373.0,375.0,-2.0,-0.5333333333333333
AW,morning,E/h,401.0,410.0,-9.0,-2.195121951219512
AW,morning,P/h,401.0,404.0,-3.0,-0.7425742574257426
BL,morning,E/h,190.0,196.0,-6.0,-3.061224489795918
BL,morning,P/h,190.0,194.0,-4.0,-2.0618556701030926
BP,morning,E/h,32.0,32.5,-0.5,-1.5384615384615385
BP,morning,P/h,32.0,32.0,0.0,0.0
BW,morning,E/h,13.0,36.5,-23.5,-64.38356164383562
BW,morning,P/h,13.0,37.0,-24.0,-64.86486486486487
CL,morning,E/h,37.0,37.0,0.0,0.0
CL,morning,P/h,37.0,37.0,0.0,0.0
CP,morning,E/h,29.0,40.5,-11.5,-28.39506172839506
CP,morning,P/h,29.0,41.0,-12.0,-29.268292682926827
CW,morning,E/h,463.0,468.0,-5.0,-1.0683760683760684
CW,morning,P/h,463.0,465.0,-2.0,-0.43010752688172044
DL,morning,E/h,15.0,72.0,-57.0,-79.16666666666666
DL,morning,P/h,15.0,75.0,-60.0,-80.0
DP,morning,E/h,14.0,40.0,-26.0,-65.0
DP,morning,P/h,14.0,40.0,-26.0,-65.0
DW,morning,E/h,20.0,134.5,-114.5,-85.13011152416357
DW,morning,P/h,20.0,137.0,-117.0,-85.40145985401459
Skrzyżowanie,morning,E/h,1613.0,1861.5,-248.5,-13.34944936878861
Skrzyżowanie,morning,P/h,1613.0,1847.0,-234.0,-12.669193286410396
Unknown,morning,E/h,11.0,,,
Unknown,morning,P/h,11.0,,,
Wlot A,morning,E/h,789.0,809.0,-20.0,-2.4721878862793574
Wlot A,morning,P/h,789.0,799.0,-10.0,-1.2515644555694618
Wlot B,morning,E/h,235.0,1083.0,-848.0,-78.30101569713757
Wlot B,morning,P/h,235.0,263.0,-28.0,-10.646387832699618
Wlot C,morning,E/h,529.0,1633.0,-1104.0,-67.6056338028169
Wlot C,morning,P/h,529.0,543.0,-14.0,-2.578268876611418
Wlot D,morning,E/h,49.0,40.0,9.0,22.5
Wlot D,morning,P/h,49.0,252.0,-203.0,-80.55555555555556
Wlot U,morning,E/h,11.0,,,
Wlot U,morning,P/h,11.0,,,
